State,Cluster
Alabama,3
Alaska,1
Arizona,3
Arkansas,1
California,2
Colorado,3
Connecticut,1
Delaware,1
District of Columbia,1
Florida,0
Georgia,3
Hawaii,1
Idaho,1
Illinois,0
Indiana,3
Iowa,1
Kansas,1
Kentucky,3
Louisiana,3
Maine,1
Maryland,3
Massachusetts,3
Michigan,3
Minnesota,3
Mississippi,1
Missouri,3
Montana,1
Nebraska,1
Nevada,1
New Hampshire,1
New Jersey,3
New Mexico,1
New York,0
North Carolina,3
North Dakota,1
Ohio,0
Oklahoma,1
Oregon,1
Pennsylvania,0
Puerto Rico,1
Rhode Island,1
South Carolina,3
South Dakota,1
Tennessee,3
Texas,2
Utah,1
Vermont,1
Virginia,3
Washington,3
West Virginia,1
Wisconsin,3
Wyoming,1
